-1.000000000000000000e+01 3.524443891102257020e+25 3.796280659974067229e+23 9.677916873433826172e+12 8.834844938484724609e+12
-9.500000000000000000e+00 7.999252988047806994e+25 8.160185135389969744e+23 1.981973837339417188e+13 9.466108604055930176e+11
-9.000000000000000000e+00 1.870227423638777859e+26 1.594988456950007176e+24 2.502412814186885938e+13 7.621792337633425293e+11
-8.500000000000000000e+00 4.275502158034528258e+26 1.863225951792321429e+24 3.064145458077039062e+13 1.168785303435360840e+12
-8.000000000000000000e+00 9.619646414342627267e+26 4.301429210872538385e+24 3.297128015995059375e+13 5.126739448752703247e+11
-7.500000000000000000e+00 2.111854664674634421e+27 4.658424502245173005e+24 3.360690900063734375e+13 5.967786814160665283e+11
-7.000000000000000000e+00 4.309895833333332756e+27 8.849735829791520470e+24 3.728232505951240625e+13 5.829906602386075439e+11
-6.500000000000000000e+00 7.773198871181937863e+27 9.800503577538592558e+24 4.218300846144039844e+13 2.040145412375605774e+11
-6.000000000000000000e+00 1.131446090637449868e+28 1.734488682190189970e+25 4.280742178290310938e+13 3.206375549744747925e+11
-5.500000000000000000e+00 1.392286064077024882e+28 2.076084673350676977e+25 4.020562038856218750e+13 1.711240258533499146e+11
-5.000000000000000000e+00 1.584641641766267892e+28 2.515462545595429803e+25 3.609873927312453906e+13 2.773231893833015137e+11
-4.500000000000000000e+00 1.733231656706507089e+28 2.206010466207513996e+25 3.254850329394373438e+13 2.503756959202235718e+11
-4.000000000000000000e+00 1.854678162350597220e+28 3.286029727460869751e+25 2.869844476744007812e+13 1.624604352643941040e+11
-3.500000000000000000e+00 1.960207088313412603e+28 2.951833980018332084e+25 2.516869250607472266e+13 2.513324305927246094e+11
-3.000000000000000000e+00 2.050140064741035201e+28 2.116126320316771054e+25 2.236734324216070703e+13 2.548829459201936340e+11
-2.500000000000000000e+00 2.130300672310756053e+28 2.550836950369198567e+25 1.964601053380082812e+13 1.900328242440618286e+11
-2.000000000000000000e+00 2.197922891766268061e+28 2.537310713261940721e+25 1.767079586746696875e+13 1.279261666941245880e+11
-1.500000000000000000e+00 2.258791915670649680e+28 3.187295126190800060e+25 1.577282530057427539e+13 1.458599561027930298e+11
-1.000000000000000000e+00 2.317683432934926608e+28 3.283344404753529425e+25 1.371777569869722852e+13 2.636361875754083557e+11
-5.000000000000000000e-01 2.355944970119521351e+28 4.129556411385658896e+25 1.260527010251072461e+13 2.479985997891849365e+11
