# n_intervals=19
# x_left  x_right  c0  c1  c2  c3
-4.184000000000000e+04 -3.974800000000000e+04 3.525896414342629e+25 1.297904121029319e+22 2.297775380284348e+18 8.015375521144445e+14
-3.974800000000000e+04 -3.765600000000000e+04 7.980577689243026e+25 3.311663412583387e+22 7.328225057354594e+18 8.015375521144484e+14
-3.765600000000000e+04 -3.556400000000000e+04 1.884960159362549e+26 7.430162849023652e+22 1.235867473442487e+19 3.060816673676183e+15
-3.556400000000000e+04 -3.347200000000000e+04 4.260458167330676e+26 1.661969855279008e+23 3.156836017841656e+19 5.791848970419983e+15
-3.347200000000000e+04 -3.138000000000000e+04 9.649153386454183e+26 3.743224600518361e+23 6.791800431677238e+19 7.588557023499086e+15
-3.138000000000000e+04 -2.928800000000000e+04 2.114716135458167e+27 7.581245299890845e+23 1.155437881962529e+20 1.149357584920900e+16
-2.928800000000000e+04 -2.719600000000000e+04 4.311616035856573e+27 1.392463402608204e+24 1.876774702258884e+20 -2.922833043748104e+16
-2.719600000000000e+04 -2.510400000000000e+04 7.778411354581673e+27 1.793955730214101e+24 4.240468400257606e+18 -2.414003862660652e+16
-2.510400000000000e+04 -2.301200000000000e+04 1.132890936254980e+28 1.494753819976920e+24 -1.472624140203241e+20 1.326899073316196e+16
-2.301200000000000e+04 -2.092000000000000e+04 1.393293077689243e+28 1.052821660495935e+24 -6.398622817899958e+19 1.179331407860513e+15
-2.092000000000000e+04 -1.882800000000000e+04 1.586619770916334e+28 8.005871861467134e+23 -5.658474426326693e+19 5.059075064255417e+15
-1.882800000000000e+04 -1.673600000000000e+04 1.733970368525896e+28 6.302591958252391e+23 -2.483398915999988e+19 1.235403033323488e+15
-1.673600000000000e+04 -1.464400000000000e+04 1.856083167330677e+28 5.425738758822929e+23 -1.708059972286169e+19 -4.001405823526224e+14
-1.464400000000000e+04 -1.255200000000000e+04 1.961748007968127e+28 4.658550440810236e+23 -1.959188201770685e+19 1.542790084863638e+15
-1.255200000000000e+04 -1.046000000000000e+04 2.052043077689242e+28 4.041385055168261e+23 -9.909331445102660e+18 -1.593558113774904e+15
-1.046000000000000e+04 -8.368000000000000e+03 2.130793077689243e+28 3.417554135999853e+23 -1.991050216715395e+19 3.497428739993210e+15
-8.368000000000000e+03 -6.276000000000000e+03 2.196776643426294e+28 3.043689854520502e+23 2.039360605043363e+18 -8.387849364871925e+14
-6.276000000000000e+03 -4.184000000000000e+03 2.260575199203187e+28 3.018889339887161e+23 -3.224853656350338e+18 -2.989816559513936e+15
-4.184000000000000e+03 -2.092000000000000e+03 2.319581673306772e+28 2.491416726725966e+23 -2.198894238385977e+19 -2.989816559513890e+15
