# n_intervals=19
# x_left  x_right  c0  c1  c2  c3
-4.184000000000000e+04 -3.974800000000000e+04 1.044701758397806e+47 6.098498440052201e+43 -1.470523556443442e+40 1.664263161502339e+36
-3.974800000000000e+04 -3.765600000000000e+04 1.829310948508694e+47 2.130904223745191e+43 -4.260319962845740e+39 1.664263161502344e+36
-3.765600000000000e+04 -3.556400000000000e+04 2.241017399702069e+47 2.533462695142890e+43 6.184595638742961e+39 -2.388110303744615e+36
-3.556400000000000e+04 -3.347200000000000e+04 2.823039461283192e+47 1.985653878682734e+43 -8.803184627558242e+39 1.442007560627477e+36
-3.347200000000000e+04 -3.138000000000000e+04 2.985193952803947e+47 1.956696835565564e+42 2.468548229398049e+38 4.777312518610446e+35
-3.138000000000000e+04 -2.928800000000000e+04 3.080670547306508e+47 9.261858291080093e+42 3.245096159619722e+39 -1.457582351266594e+35
-2.928800000000000e+04 -2.719600000000000e+04 3.403104101357100e+47 2.092562361672293e+43 2.330317475964807e+39 -1.426084201742670e+36
-2.719600000000000e+04 -2.510400000000000e+04 3.812287619766037e+47 1.195205342647308e+43 -6.619786974172192e+39 7.683303989679866e+35
-2.510400000000000e+04 -2.301200000000000e+04 3.842956954974993e+47 -5.657424279896284e+42 -1.797745390249110e+39 -1.995483864671449e+35
-2.301200000000000e+04 -2.092000000000000e+04 3.627656181607759e+47 -1.579913998159320e+43 -3.050111063716909e+39 9.172977684617321e+35
-2.092000000000000e+04 -1.882800000000000e+04 3.247634932756381e+47 -1.651724268932543e+43 2.706849731148923e+39 -7.950065426518550e+35
-1.882800000000000e+04 -1.673600000000000e+04 2.947771197327330e+47 -1.562973595523926e+43 -2.282611330534121e+39 5.962371210995990e+35
-1.673600000000000e+04 -1.464400000000000e+04 2.575488321394378e+47 -1.735195087432592e+43 1.459372841486957e+39 -9.481477116466502e+34
-1.464400000000000e+04 -1.255200000000000e+04 2.267673610325469e+47 -1.249079520355567e+43 8.643153376575184e+38 -2.789715467227927e+35
-1.255200000000000e+04 -1.046000000000000e+04 2.018651209424256e+47 -1.253722662456648e+43 -8.865100895747302e+38 4.430578935857698e+35
-1.046000000000000e+04 -8.368000000000000e+03 1.758139076703096e+47 -1.042930407576529e+43 1.894121250569564e+39 -3.583084044367927e+35
-8.368000000000000e+03 -6.276000000000000e+03 1.590048419501030e+47 -7.208672262127428e+42 -3.546222956757487e+38 -2.483171477445996e+34
-6.276000000000000e+03 -4.184000000000000e+03 1.421449595458421e+47 -9.018437264540837e+42 -5.104661376002588e+38 2.718653350688621e+35
-4.184000000000000e+03 -2.092000000000000e+03 1.235334322319131e+47 -7.584801028929882e+42 1.195760705291920e+39 2.718653350688618e+35
