 # iter    flux_conservation    flux_mean[1/s]    flux_std[1/s]    time_step[s]
     10000    5.6366264070E-01    6.6844712022E+07    3.7677866895E+07    1.1000000238E-15
     20000    5.6363356175E-01    6.6844639014E+07    3.7675881971E+07    1.2100000525E-15
     30000    5.6360158663E-01    6.6844558714E+07    3.7673699348E+07    1.3310000865E-15
     40000    5.6356642817E-01    6.6844470392E+07    3.7671299422E+07    1.4641001269E-15
     50000    5.6352777100E-01    6.6844373250E+07    3.7668660661E+07    1.6105101745E-15
     60000    5.6348526882E-01    6.6844266406E+07    3.7665759425E+07    1.7715612304E-15
     70000    5.6343854145E-01    6.6844148894E+07    3.7662569757E+07    1.9487173957E-15
     80000    5.6338717157E-01    6.6844019650E+07    3.7659063167E+07    2.1435891817E-15
     90000    5.6333070124E-01    6.6843877506E+07    3.7655208389E+07    2.3579481510E-15
    100000    5.6326862798E-01    6.6843721175E+07    3.7650971116E+07    2.5937430223E-15
    110000    5.6320040069E-01    6.6843549247E+07    3.7646313719E+07    2.8531173863E-15
    120000    5.6312541499E-01    6.6843360168E+07    3.7641194934E+07    3.1384291930E-15
    130000    5.6304300840E-01    6.6843152232E+07    3.7635569523E+07    3.4522721871E-15
    140000    5.6295245487E-01    6.6842923564E+07    3.7629387911E+07    3.7974994882E-15
    150000    5.6285295909E-01    6.6842672104E+07    3.7622595788E+07    4.1772495275E-15
    160000    5.6274365017E-01    6.6842395590E+07    3.7615133681E+07    4.5949745799E-15
    170000    5.6262357488E-01    6.6842091536E+07    3.7606936492E+07    5.0544721474E-15
    180000    5.6249169041E-01    6.6841757210E+07    3.7597933003E+07    5.5599194826E-15
    190000    5.6234685650E-01    6.6841389615E+07    3.7588045334E+07    6.1159115635E-15
    200000    5.6218782713E-01    6.6840985458E+07    3.7577188378E+07    6.7275028656E-15
    210000    5.6201324152E-01    6.6840541128E+07    3.7565269184E+07    7.4002533126E-15
    220000    5.6182161461E-01    6.6840052657E+07    3.7552186304E+07    8.1402788203E-15
    230000    5.6161132694E-01    6.6839515697E+07    3.7537829102E+07    8.9543068964E-15
    240000    5.6138061395E-01    6.6838925475E+07    3.7522077019E+07    9.8497377995E-15
    250000    5.6112755473E-01    6.6838276758E+07    3.7504798799E+07    1.0834711814E-14
    260000    5.6085006023E-01    6.6837563810E+07    3.7485851688E+07    1.1918183254E-14
    270000    5.6054586095E-01    6.6836780344E+07    3.7465080581E+07    1.3110001864E-14
    280000    5.6021249427E-01    6.6835919477E+07    3.7442317157E+07    1.4421002363E-14
    290000    5.5984729137E-01    6.6834973670E+07    3.7417378978E+07    1.5863102943E-14
    300000    5.5944736400E-01    6.6833934679E+07    3.7390068582E+07    1.7449413615E-14
    310000    5.5900959106E-01    6.6832793486E+07    3.7360172556E+07    1.9194355393E-14
    320000    5.5853060535E-01    6.6831540240E+07    3.7327460627E+07    2.1113791389E-14
    330000    5.5800678049E-01    6.6830164185E+07    3.7291684757E+07    2.3225171032E-14
    340000    5.5743421844E-01    6.6828653589E+07    3.7252578283E+07    2.5547688689E-14
    350000    5.5680873767E-01    6.6826995670E+07    3.7209855101E+07    2.8102458167E-14
    360000    5.5612586251E-01    6.6825176516E+07    3.7163208928E+07    3.0912704653E-14
    370000    5.5538081384E-01    6.6823181010E+07    3.7112312652E+07    3.4003975856E-14
    380000    5.5456850154E-01    6.6820992748E+07    3.7056817819E+07    3.7404374252E-14
    390000    5.5368351917E-01    6.6818593967E+07    3.6996354254E+07    4.1144812569E-14
    400000    5.5272014124E-01    6.6815965469E+07    3.6930529871E+07    4.5259294807E-14
    410000    5.5167232342E-01    6.6813086558E+07    3.6858930696E+07    4.5259294807E-14
    420000    5.5063661380E-01    6.6810220806E+07    3.6788153752E+07    4.5259294807E-14
    430000    5.4961268089E-01    6.6807368394E+07    3.6718176846E+07    4.5259294807E-14
    440000    5.4860019950E-01    6.6804529472E+07    3.6648978196E+07    4.5259294807E-14
    450000    5.4759885931E-01    6.6801704182E+07    3.6580537010E+07    4.5259294807E-14
    460000    5.4660836379E-01    6.6798892663E+07    3.6512833421E+07    4.5259294807E-14
