-1.000000000000000000e+01 6.615205843293491270e+25 7.059180401822188490e+23 -7.356676952832216024e+07 5.719060819812380522e+07
-9.500000000000000000e+00 1.540504648074368963e+26 7.778837936868937769e+23 5.134413756974089844e+12 1.042212856733986328e+12
-9.000000000000000000e+00 3.531083997343957415e+26 2.137871706105653137e+24 1.125499562055329492e+13 1.448335229881257080e+12
-8.500000000000000000e+00 8.104457171314739688e+26 3.654150551831690963e+24 1.645553776339865625e+13 3.522567404543569946e+11
-8.000000000000000000e+00 1.831860059760955531e+27 6.425486976753846851e+24 1.558182734639977539e+13 3.323323731808154297e+11
-7.500000000000000000e+00 3.898344123505974936e+27 6.599307006034495970e+24 1.418124778834448438e+13 4.027060178304779053e+11
-7.000000000000000000e+00 6.899962649402390556e+27 1.744259504281868668e+25 1.292292685215901562e+13 1.892772017897026978e+11
-6.500000000000000000e+00 9.795609229747673944e+27 2.024570382602573989e+25 1.152387135595731836e+13 2.066304871420552673e+11
-6.000000000000000000e+00 1.201110142762283839e+28 2.488378250995595268e+25 1.037647464211272070e+13 1.967054096356505432e+11
-5.500000000000000000e+00 1.374985474767596144e+28 3.232642558865576855e+25 9.243144831979660156e+12 1.250850990625298309e+11
-5.000000000000000000e+00 1.519411935590969001e+28 3.407891174232218920e+25 7.868836781991233398e+12 1.227161314300352936e+11
-4.500000000000000000e+00 1.641320136122177494e+28 4.057382852336738081e+25 7.055867856510691406e+12 9.473493999808201599e+10
-4.000000000000000000e+00 1.748259047144754080e+28 4.693203483838946318e+25 6.271613537119684570e+12 1.099401697672862396e+11
-3.500000000000000000e+00 1.840176792828685204e+28 3.805126609119021228e+25 5.621300010773277344e+12 5.020950894252311707e+10
-3.000000000000000000e+00 1.923034943559096327e+28 3.521215074754184335e+25 4.750065848076615234e+12 9.481290518346145630e+10
-2.500000000000000000e+00 1.993934677954846471e+28 6.564266051325258733e+25 4.174279233099377441e+12 1.322455697984752045e+11
-2.000000000000000000e+00 2.060914674634793779e+28 5.693790273706940141e+25 3.682363790247693848e+12 1.203539038959721985e+11
-1.500000000000000000e+00 2.118542496679946551e+28 2.337548002259127271e+25 3.386401215926410645e+12 9.256387879471615601e+10
-1.000000000000000000e+00 2.168430444887117684e+28 5.688576769129536008e+25 2.847844215988830566e+12 6.715234789004548645e+10
-5.000000000000000000e-01 2.201653801460822812e+28 3.572133845195434899e+25 2.578180960388911621e+12 5.976654335410800171e+10
