 # iter    flux_conservation    flux_mean[1/s]    flux_std[1/s]    time_step[s]
     10000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    1.1000000238E-22
     20000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    1.2100000525E-22
     30000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    1.3310000865E-22
     40000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    1.4641001269E-22
     50000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    1.6105101745E-22
     60000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    1.7715612304E-22
     70000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    1.9487173957E-22
     80000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    2.1435891817E-22
     90000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    2.3579481510E-22
    100000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    2.5937430223E-22
    110000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    2.8531173863E-22
    120000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    3.1384291930E-22
    130000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    3.4522721871E-22
    140000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    3.7974994882E-22
    150000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    4.1772495275E-22
    160000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    4.5949745799E-22
    170000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    5.0544721474E-22
    180000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    5.5599194826E-22
    190000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    6.1159115635E-22
    200000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    6.7275028656E-22
    210000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    7.4002533126E-22
    220000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    8.1402788203E-22
    230000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    8.9543068964E-22
    240000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    9.8497377995E-22
    250000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    1.0834711814E-21
    260000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    1.1918183254E-21
    270000    6.5658031487E-01    5.5456937465E+06    3.6411933462E+06    1.3110001864E-21
    280000    6.5658031486E-01    5.5456937465E+06    3.6411933462E+06    1.4421002363E-21
    290000    6.5658031486E-01    5.5456937465E+06    3.6411933462E+06    1.5863102943E-21
    300000    6.5658031486E-01    5.5456937465E+06    3.6411933462E+06    1.7449413615E-21
    310000    6.5658031485E-01    5.5456937465E+06    3.6411933461E+06    1.9194355393E-21
    320000    6.5658031484E-01    5.5456937465E+06    3.6411933461E+06    2.1113791389E-21
    330000    6.5658031484E-01    5.5456937465E+06    3.6411933461E+06    2.3225171032E-21
    340000    6.5658031483E-01    5.5456937465E+06    3.6411933460E+06    2.5547688689E-21
    350000    6.5658031482E-01    5.5456937465E+06    3.6411933460E+06    2.8102458167E-21
    360000    6.5658031482E-01    5.5456937465E+06    3.6411933459E+06    3.0912704653E-21
    370000    6.5658031481E-01    5.5456937465E+06    3.6411933459E+06    3.4003975856E-21
    380000    6.5658031480E-01    5.5456937465E+06    3.6411933459E+06    3.7404374252E-21
