# mu (kcal/mol)    N (average particle number) v (average velocity in A/fs)
-9.000000000000000000e+00 5.947356730342070463e+00 2.256913465200000089e-04
-8.500000000000000000e+00 1.351754775655264318e+01 2.666526590800000294e-04
-8.000000000000000000e+00 3.049489115948467344e+01 2.971098470560000395e-04
-7.500000000000000000e+00 6.857374500222123004e+01 2.969022827600000230e-04
-7.000000000000000000e+00 1.363098622834295952e+02 3.468167735999999851e-04
-6.500000000000000000e+00 2.479897823189693611e+02 3.948311080000000035e-04
-6.000000000000000000e+00 3.610393158596179433e+02 4.005307879999999571e-04
-5.500000000000000000e+00 4.534540204353620538e+02 3.592667799999999857e-04
-5.000000000000000000e+00 5.081008440693025250e+02 3.143708120000000220e-04
-4.500000000000000000e+00 5.524131497112394982e+02 2.746361800000000171e-04
-4.000000000000000000e+00 5.929991115059973481e+02 2.334551560000000070e-04
-3.500000000000000000e+00 6.197569968902710116e+02 2.013929120000000140e-04
-3.000000000000000000e+00 6.494189249222567923e+02 1.791581411999999970e-04
-2.500000000000000000e+00 6.645615282096846386e+02 1.529648848000000124e-04
-2.000000000000000000e+00 6.701750333185251520e+02 1.450115475999999971e-04
-1.500000000000000000e+00 6.789095957352287769e+02 1.384354431999999867e-04
-1.000000000000000000e+00 6.906386050644158558e+02 1.260647992000000204e-04
-5.000000000000000000e-01 6.864047090182141346e+02 1.233285168000000068e-04
