 # iter    flux_conservation    flux_mean[1/s]    flux_std[1/s]    time_step[s]
    630000    5.9248619723E-01    3.0010053086E+07    1.7780542232E+07    1.0671907050E-13
    640000    5.9151532683E-01    3.0009299149E+07    1.7750960394E+07    1.0671907050E-13
    650000    5.9055384040E-01    3.0008548185E+07    1.7721663376E+07    1.0671907050E-13
    660000    5.8960151058E-01    3.0007800095E+07    1.7692644265E+07    1.0671907050E-13
    670000    5.8865811950E-01    3.0007054776E+07    1.7663896436E+07    1.0671907050E-13
    680000    5.8772345805E-01    3.0006312130E+07    1.7635413529E+07    1.0671907050E-13
    690000    5.8679732523E-01    3.0005572059E+07    1.7607189426E+07    1.0671907050E-13
    700000    5.8587952761E-01    3.0004834468E+07    1.7579218244E+07    1.0671907050E-13
    710000    5.8496987892E-01    3.0004099259E+07    1.7551494311E+07    1.0671907050E-13
    720000    5.8406819956E-01    3.0003366337E+07    1.7524012157E+07    1.0671907050E-13
    730000    5.8317431625E-01    3.0002635606E+07    1.7496766505E+07    1.0671907050E-13
    740000    5.8228806158E-01    3.0001906968E+07    1.7469752252E+07    1.0671907050E-13
    750000    5.8140927378E-01    3.0001180328E+07    1.7442964467E+07    1.0671907050E-13
    760000    5.8053779635E-01    3.0000455588E+07    1.7416398377E+07    1.0671907050E-13
    770000    5.7967347782E-01    2.9999732653E+07    1.7390049361E+07    1.0671907050E-13
    780000    5.7881617148E-01    2.9999011427E+07    1.7363912942E+07    1.0671907050E-13
    790000    5.7796573516E-01    2.9998291812E+07    1.7337984781E+07    1.0671907050E-13
    800000    5.7712203099E-01    2.9997573714E+07    1.7312260666E+07    1.0671907050E-13
    810000    5.7628492525E-01    2.9996857035E+07    1.7286736514E+07    1.0671907050E-13
    820000    5.7545428812E-01    2.9996141681E+07    1.7261408357E+07    1.0671907050E-13
    830000    5.7462999356E-01    2.9995427555E+07    1.7236272343E+07    1.0671907050E-13
    840000    5.7381191911E-01    2.9994714564E+07    1.7211324727E+07    1.0671907050E-13
    850000    5.7299994579E-01    2.9994002611E+07    1.7186561870E+07    1.0671907050E-13
    860000    5.7219395789E-01    2.9993291602E+07    1.7161980232E+07    1.0671907050E-13
    870000    5.7139384290E-01    2.9992581444E+07    1.7137576370E+07    1.0671907050E-13
    880000    5.7059949135E-01    2.9991872042E+07    1.7113346932E+07    1.0671907050E-13
    890000    5.6981079668E-01    2.9991163303E+07    1.7089288655E+07    1.0671907050E-13
    900000    5.6902765519E-01    2.9990455134E+07    1.7065398363E+07    1.0671907050E-13
