-11.7707889627 -11.8301883570 -11.9196641942 -11.9900683155 -12.0820870309 -12.1886840182 -12.3176011702 -12.4759628049 -12.6773665433 -12.9436468951 -13.3095213813 -13.8280590326 -14.5745131692 -15.6399230538 -17.1224919873 -19.1075841107 -21.6215213991 -24.5872238724 -27.8546489816 -31.2560187637 -34.6167249665 -37.7691139877 -40.5789592401 -42.9569841608 -44.8633298237 -46.3066858135 -47.3385594496 -48.0449950235 -48.5253880729 -48.8521636886 -49.0635840380 -49.1906596783 -49.2657011864 -49.3196775935 -49.3746515740 -49.4363186729 -49.5022146195 -49.5695998613 -49.6354641302 -49.6971545108 -49.7512530201 -49.7985175663 -49.8239029601 -49.8545986378 -49.8342262765
-11.9669753799 -12.0313243892 -12.1280755737 -12.2061052755 -12.3012342102 -12.4079451614 -12.5345500560 -12.6889709474 -12.8854660344 -13.1463633141 -13.5065075427 -14.0181639275 -14.7541165758 -15.8045432282 -17.2685565843 -19.2324091813 -21.7230809154 -24.6648177849 -27.9090455506 -31.2885043736 -34.6289993297 -37.7639588423 -40.5611145687 -42.9338041433 -44.8424109247 -46.2938090631 -47.3374386979 -48.0573819048 -48.5512460415 -48.8902410340 -49.1120171135 -49.2473235335 -49.3283861939 -49.3861858737 -49.4428084474 -49.5038365590 -49.5668338894 -49.6293028133 -49.6885958419 -49.7423754922 -49.7875889470 -49.8241810873 -49.8413157265 -49.8593338009 -49.8371505936
-12.4417677274 -12.5096900163 -12.6104383887 -12.6914907220 -12.7872752440 -12.8931397328 -13.0178650432 -13.1701086970 -13.3647129558 -13.6243559460 -13.9837820396 -14.4945539678 -15.2285071163 -16.2759437116 -17.7357700000 -19.6933185415 -22.1745340193 -25.1034424866 -28.3315329886 -31.6915321568 -35.0100129718 -38.1221244601 -40.8979336442 -43.2527144959 -45.1467209456 -46.5858164279 -47.6182843618 -48.3269888685 -48.8085474573 -49.1339657536 -49.3412598772 -49.4615875480 -49.5273943081 -49.5696475875 -49.6102235042 -49.6545732723 -49.7004711019 -49.7457190000 -49.7879789774 -49.8250954160 -49.8543313661 -49.8752452239 -49.8807243160 -49.8863918278 -49.8602314113
-13.0698477845 -13.1360037249 -13.2365394827 -13.3177359240 -13.4129854546 -13.5176719052 -13.6406536460 -13.7908230884 -13.9831989982 -14.2405006566 -14.5972679885 -15.1045033753 -15.8330236355 -16.8718316720 -18.3183779904 -20.2564866248 -22.7112062406 -25.6070027312 -28.7967446079 -32.1149079600 -35.3902969227 -38.4606023118 -41.1982718054 -43.5202478296 -45.3871887531 -46.8042432466 -47.8184521132 -48.5113162976 -48.9784832455 -49.2907102970 -49.4860181513 -49.5953928953 -49.6509624734 -49.6832416790 -49.7137264883 -49.7478717284 -49.7836913758 -49.8192114979 -49.8523044970 -49.8809359515 -49.9025657971 -49.9163981856 -49.9162612244 -49.9137371641 -49.8774869756
-13.8942051858 -13.9596751929 -14.0593552046 -14.1391349931 -14.2324339894 -14.3347739185 -14.4551820950 -14.6027417236 -14.7925800431 -15.0473767717 -15.4013816013 -15.9049420495 -16.6278030422 -17.6575480496 -19.0897457124 -21.0061272057 -23.4302832116 -26.2867528181 -29.4296930360 -32.6955586278 -35.9158604356 -38.9314074556 -41.6175621301 -43.8933821036 -45.7203860672 -47.1035014717 -48.0888973867 -48.7569426732 -49.2023498834 -49.4953930689 -49.6737475155 -49.7679436276 -49.8095703005 -49.8285052680 -49.8457612323 -49.8667944919 -49.8898978446 -49.9133444132 -49.9352092998 -49.9535734630 -49.9659851630 -49.9715191796 -49.9641716557 -49.9549191259 -49.9124101457
-14.9154992432 -14.9800213415 -15.0776182383 -15.1546609452 -15.2447545113 -15.3436294555 -15.4604554080 -15.6044226393 -15.7906686971 -16.0417174456 -16.3914216731 -16.8893483553 -17.6039933350 -18.6211590424 -20.0340821259 -21.9219674179 -24.3066535710 -27.1127153431 -30.1958647664 -33.3950394924 -36.5450850293 -39.4905773076 -42.1103088685 -44.3259306850 -46.1003816184 -47.4388390359 -48.3868530495 -49.0237208364 -49.4430660023 -49.7142922045 -49.8742390971 -49.9525532116 -49.9799405195 -49.9853909770 -49.9893143813 -49.9971561566 -50.0074900298 -50.0188265945 -50.0294156261 -50.0374247979 -50.0403900091 -50.0372557668 -50.0216159527 -50.0045052852 -49.9525780376
-16.1526196786 -16.2159721645 -16.3105001127 -16.3836397595 -16.4692328668 -16.5633252727 -16.6752307844 -16.8142148024 -16.9953422656 -17.2408858584 -17.5841771395 -18.0738450089 -18.7769485849 -19.7772327380 -21.1652347166 -23.0172393396 -25.3530519241 -28.0972419696 -31.1073096243 -34.2251368704 -37.2895444401 -40.1495453357 -42.6879622134 -44.8295819510 -46.5392778453 -47.8228775291 -48.7255021423 -49.3253435445 -49.7146739595 -49.9615772571 -50.1015834437 -50.1630560029 -50.1755049859 -50.1668092996 -50.1566648780 -50.1504715272 -50.1470641041 -50.1451771580 -50.1432187299 -50.1394340207 -50.1313083108 -50.1176770596 -50.0915715405 -50.0644883594 -50.0005640060
-17.6237755949 -17.6854470331 -17.7756847784 -17.8437014010 -17.9233931477 -18.0112210475 -18.1166025401 -18.2488187302 -18.4227695977 -18.6603586907 -18.9942334041 -19.4719034839 -20.1587691879 -21.1362224883 -22.4917430204 -24.2983502384 -26.5736196955 -29.2421895186 -32.1637180256 -35.1836509485 -38.1455298338 -40.9035611061 -43.3452545261 -45.3990588119 -47.0322108401 -48.2514715221 -49.1015923274 -49.6594894543 -50.0157027560 -50.2365018152 -50.3556584874 -50.3998752126 -50.3971565255 -50.3740631321 -50.3494663290 -50.3286644304 -50.3107060630 -50.2945216001 -50.2786632544 -50.2614438489 -50.2402744260 -50.2138585854 -50.1745896866 -50.1342291485 -50.0551580188
-19.3507345184 -19.4100071823 -19.4945434624 -19.5561421896 -19.6284255350 -19.7083567227 -19.8053744932 -19.9286987634 -20.0929458578 -20.3194929438 -20.6401188063 -21.1009940604 -21.7656064559 -22.7126908721 -24.0263090525 -25.7759048044 -27.9766985700 -30.5535784668 -33.3688860330 -36.2723945271 -39.1132391200 -41.7516777559 -44.0805996849 -46.0326186295 -47.5776586749 -48.7235671631 -49.5146585054 -50.0262821192 -50.3467583821 -50.5400280309 -50.6376940758 -50.6644524369 -50.6465139047 -50.6089318363 -50.5696455771 -50.5337694972 -50.5004952710 -50.4689133098 -50.4377036407 -50.4052615127 -50.3689588883 -50.3273845948 -50.2725604600 -50.2160199485 -50.1212200167
-21.3565046540 -21.4124496990 -21.4896673162 -21.5435056944 -21.6068199210 -21.6771435636 -21.7638061405 -21.8758507261 -22.0274517081 -22.2392716366 -22.5419950665 -22.9801837647 -23.6151246852 -24.5225536158 -25.7827399223 -27.4612701135 -29.5709575034 -32.0372581416 -34.7259072750 -37.4919574691 -40.1911648077 -42.6907752673 -44.8898030178 -46.7254987881 -48.1706990136 -49.2343762867 -49.9602389925 -50.4216658771 -50.7041730590 -50.8688357931 -50.9447013287 -50.9541338459 -50.9212789204 -50.8694962454 -50.8156858495 -50.7646736465 -50.7156928821 -50.6679359706 -50.6201828601 -50.5709519609 -50.5175289488 -50.4584596891 -50.3847463123 -50.3052733477 -50.1837086530
-23.6642628729 -23.7157726072 -23.7839384045 -23.8287293665 -23.8815742363 -23.9406245664 -24.0149109761 -24.1131464717 -24.2488678092 -24.4417974104 -24.7212479547 -25.1298589834 -25.7263762087 -26.5831334836 -27.7762031023 -29.3670382054 -31.3660626370 -33.6997660547 -36.2381956290 -38.8428346575 -41.3772220659 -43.7166389296 -45.7670169918 -47.4707016452 -48.8036117128 -49.7758235475 -50.4302014206 -50.8376627940 -51.0802441508 -51.2155726277 -51.2697425945 -51.2624658743 -51.2155425101 -51.1504568631 -51.0829496622 -51.0174277016 -50.9530273413 -50.8889604371 -50.8240789502 -50.7570951741 -50.6853813516 -50.6074715385 -50.5165288952 -50.4046801790 -50.2517115271
-26.2962302320 -26.3420838954 -26.3995046980 -26.4341794765 -26.4752967171 -26.5216343366 -26.5816790104 -26.6636215006 -26.7801265334 -26.9497139920 -27.2000070333 -27.5713585796 -28.1195547028 -28.9130379044 -30.0232080141 -31.5070841049 -33.3727596115 -35.5483645980 -37.9094030608 -40.3251488461 -42.6682436483 -44.8231496722 -46.7035763325 -48.2574708436 -49.4640430601 -50.3344809091 -50.9105598209 -51.2601799770 -51.4611270271 -51.5668793644 -51.6001171064 -51.5775434725 -51.5182995619 -51.4417991586 -51.3624902941 -51.2842043770 -51.2057955729 -51.1263916141 -51.0448432963 -50.9603633767 -50.8700760784 -50.7766984607 -50.6653247959 -50.5241364535 -50.3980186348
-29.2539808887 -29.2929110831 -29.3381091454 -29.3619625591 -29.3904892900 -29.4230538135 -29.4673099685 -29.5307105456 -29.6248004702 -29.7666185942 -29.9817614294 -30.3078949616 -30.7973552944 -31.5140929529 -32.5242736968 -33.8801310232 -35.5874996256 -37.5769003723 -39.7306891457 -41.9275080489 -44.0505374399 -45.9946433158 -47.6822476880 -49.0674767441 -50.1331238186 -50.8915015301 -51.3829968588 -51.6718273989 -51.8305661017 -51.9076602502 -51.9218422447 -51.8864432412 -51.8176596814 -51.7326746234 -51.6445495079 -51.5563714509 -51.4664890846 -51.3737638053 -51.2768534340 -51.1754009988 -51.0656018876 -50.9553850024 -50.8129896656 -50.6761487005 -50.5712256548
-32.4885306351 -32.5193284838 -32.5511556367 -32.5638909942 -32.5794007569 -32.5975546718 -32.6248834190 -32.6678980969 -32.7367936384 -32.8468753985 -33.0214044640 -33.2949606985 -33.7158794294 -34.3429465166 -35.2364999797 -36.4436375065 -37.9680912103 -39.7437487274 -41.6615060691 -43.6110826894 -45.4876096098 -47.1975033936 -48.6727276956 -49.8740772524 -50.7880802464 -51.4279843936 -51.8322837744 -52.0606307516 -52.1792057954 -52.2304450960 -52.2286780694 -52.1836761055 -52.1085780669 -52.0183435026 -51.9246736779 -51.8298159053 -51.7314158618 -51.6278616372 -51.5174417624 -51.4000197887 -51.2709145959 -51.1421336750 -50.9692010683 -50.8252092755 -50.6739865869
-35.8976666608 -35.9192901367 -35.9370205902 -35.9388017953 -35.9413413618 -35.9449266531 -35.9547124181 -35.9761105796 -36.0178005989 -36.0931742297 -36.2229150575 -36.4381614634 -36.7827006329 -37.3094988930 -38.0725503716 -39.1135913012 -40.4345834586 -41.9740107978 -43.6331629035 -45.3144366508 -46.9260387866 -48.3867194368 -49.6384565232 -50.6488789498 -51.4080773073 -51.9297601076 -52.2498041272 -52.4222668259 -52.5056913852 -52.5356062940 -52.5217448842 -52.4704342615 -52.3919182260 -52.2991720199 -52.2027369821 -52.1040313669 -51.9998343754 -51.8878537024 -51.7658507657 -51.6336661071 -51.4859291271 -51.3380041501 -51.1351614133 -50.9862196681 -50.7794823178
