3.8851812517 3.8796902608 3.8725902691 3.8675665182 3.8634839446 3.8597914293 3.8557123556 3.8504773385 3.8432992959 3.8333759009 3.8198531023 3.8017210878 3.7773766697 3.7436218090 3.6967256415 3.6329215911 3.5486866891 3.4411750569 3.3090293587 3.1524491407 2.9728396377 2.7728420806 2.5562964035 2.3284247670 2.0959631120 1.8654313646 1.6424511367 1.4314693483 1.2356082141 1.0567930769 0.8960570612 0.7536870551 0.6292892221 0.5219303712 0.4303220341 0.3530515710 0.2885536180 0.2351850159 0.1913125447 0.1553944944 0.1259458712 0.1017556201 0.0800864427 0.0632413600 0.0410413864
3.9569374964 3.9538538333 3.9489007120 3.9449038626 3.9411738170 3.9374703918 3.9332873738 3.9281009486 3.9213332267 3.9123496639 3.9004006257 3.8844992216 3.8631082278 3.8335569963 3.7925325090 3.7363457983 3.6611842134 3.5636624030 3.4416360778 3.2943801807 3.1225381507 2.9282668378 2.7152276534 2.4886413627 2.2550732572 2.0210676793 1.7924974391 1.5741771767 1.3696102180 1.1810906057 1.0100257012 0.8570934645 0.7222435353 0.6047943765 0.5035696552 0.4171471443 0.3439821792 0.2824745359 0.2310240316 0.1880978300 0.1521922557 0.1220909603 0.0955315418 0.0743010871 0.0525152247
4.1189352857 4.1181121875 4.1156230756 4.1128922315 4.1097053386 4.1061066137 4.1019094683 4.0968910255 4.0907454055 4.0830665358 4.0732720975 4.0604716830 4.0432747498 4.0195933533 3.9865691870 3.9405843887 3.8774605653 3.7931183769 3.6844057766 3.5494080833 3.3877228963 3.2007493612 2.9917113982 2.7655841573 2.5286102858 2.2873265191 2.0479374519 1.8158129030 1.5951373262 1.3889512920 1.1993833186 1.0277799955 0.8746526698 0.7397273158 0.6220316097 0.5201846874 0.4326950506 0.3580209291 0.2945982432 0.2408870370 0.1953552402 0.1566714845 0.1231570810 0.0949350006 0.0704784266
4.3360671447 4.3352388936 4.3334229948 4.3311217485 4.3282023619 4.3246954891 4.3205276156 4.3156008585 4.3097451103 4.3026846757 4.2939641307 4.2828284427 4.2680332002 4.2476374864 4.2188728522 4.1780877575 4.1208997736 4.0428607010 3.9403216718 3.8107971696 3.6533115488 3.4687378422 3.2598313363 3.0311298000 2.7885625028 2.5385863255 2.2875604009 2.0412254355 1.8043514424 1.5807136280 1.3731395237 1.1835609167 1.0129692522 0.8614452062 0.7282380696 0.6120953368 0.5116132093 0.4253022085 0.3516189895 0.2890022954 0.2358991737 0.1908078430 0.1522117631 0.1187744494 0.0897033333
4.6239598689 4.6232821502 4.6218784812 4.6197559345 4.6168307098 4.6131456632 4.6087213581 4.6035672166 4.5976320691 4.5907576977 4.5825995207 4.5725101826 4.5593527013 4.5413095891 4.5156632378 4.4786800068 4.4257274435 4.3519665151 4.2532704644 4.1266449661 3.9706353713 3.7857006620 3.5742442894 3.3404650010 3.0900125963 2.8292556967 2.5646748330 2.3023272279 2.0474860683 1.8045677011 1.5770446845 1.3674265280 1.1772039809 1.0068527283 0.8558979518 0.7232685972 0.6076922444 0.5077657944 0.4219896196 0.3487952763 0.2866000136 0.2337707086 0.1888142114 0.1497877339 0.1167834140
4.9849890882 4.9843231508 4.9829276929 4.9806631798 4.9774320071 4.9732813730 4.9682813060 4.9625078948 4.9559894690 4.9486486342 4.9402208985 4.9301316315 4.9173063382 4.8999674924 4.8753676799 4.8396387413 4.7878880707 4.7149228355 4.6162332650 4.4884617229 4.3298411067 4.1405886972 3.9229097812 3.6807993238 3.4197321912 3.1460256719 2.8662474715 2.5866822031 2.3129662496 2.0499963836 1.8017571004 1.5712508542 1.3604196625 1.1701254636 1.0002016104 0.8498082125 0.7178460687 0.6030306579 0.5039287108 0.4189804153 0.3465741355 0.2849460733 0.2325389870 0.1868946283 0.1484406448
5.4278059473 5.4271265311 5.4255258142 5.4228797818 5.4190561345 5.4141139887 5.4081513814 5.4012883779 5.3936027063 5.3850676909 5.3754638877 5.3642482697 5.3503615026 5.3320122928 5.3063692229 5.2693799467 5.2158638274 5.1402793858 5.0377839522 4.9047551292 4.7392623867 4.5414562522 4.3135325538 4.0594701629 3.7847100250 3.4955856280 3.1987452896 2.9006204268 2.6070590225 2.3232462386 2.0535134840 1.8012411699 1.5687544653 1.3572758235 1.1669649982 0.9972546351 0.8472577921 0.7158456587 0.6016839905 0.5032491273 0.4189255123 0.3468345753 0.2853780137 0.2316285990 0.1863498624
5.9612017929 5.9604744317 5.9584705816 5.9552128872 5.9505104182 5.9444365138 5.9370952972 5.9286237611 5.9191148219 5.9085557923 5.8967273380 5.8830696442 5.8664831999 5.8451014045 5.8159493958 5.7747400625 5.7159780901 5.6337844165 5.5230434978 5.3799859576 5.2026829452 4.9914191701 4.7485986568 4.4783968053 4.1863890204 3.8790160622 3.5630137592 3.2448854541 2.9305319455 2.6252142999 2.3334181110 2.0587535808 1.8038239144 1.5701583788 1.3582370091 1.1677906827 0.9981765550 0.8484556292 0.7174299558 0.6036423714 0.5055110585 0.4210380546 0.3486573942 0.2847694678 0.2309776656
6.5956097115 6.5948025306 6.5922218951 6.5881412041 6.5822888333 6.5747501343 6.5656109887 6.5549952952 6.5429734283 6.5294999004 6.5143043707 6.4967500599 6.4756314306 6.4489387530 6.4134842621 6.3646905908 6.2967176053 6.2033593789 6.0792985422 5.9207516540 5.7259762779 5.4956160507 5.2325235005 4.9413107542 4.6278763833 4.2988834541 3.9611833474 3.6212919081 3.2850113891 2.9574617882 2.6430707190 2.3455025771 2.0675017064 1.8108174832 1.5762167412 1.3637311011 1.1729812136 1.0032482260 0.8535099576 0.7224161168 0.6084947164 0.5096250231 0.4245661130 0.3485304449 0.2852853871
7.3423503073 7.3414271607 7.3381067589 7.3330147579 7.3257742329 7.3164744792 7.3051542249 7.2918862660 7.2766719036 7.2593778331 7.2396210221 7.2166133154 7.1889623897 7.1544308891 7.1095322763 7.0493284913 6.9675968979 6.8578167750 6.7145556679 6.5341745349 6.3153320659 6.0592798724 5.7695878031 5.4515704324 5.1116674801 4.7569071143 4.3943182853 4.0303970208 3.6707116540 3.3200305459 2.9824960933 2.6616218885 2.3601230033 2.0798413339 1.8217616306 1.5861896729 1.3730062191 1.1817270228 1.0115364964 0.8612237791 0.7294876595 0.6139957905 0.5139894814 0.4218831955 0.3438538045
