# n_intervals=19
# x_left  x_right  c0  c1  c2  c3
-4.184000000000000e+04 -3.974800000000000e+04 3.838147410358565e+26 1.638703006343612e+23 1.949105237462332e+19 5.664482182237863e+15
-3.974800000000000e+04 -3.765600000000000e+04 8.637948207171313e+26 3.197920708174014e+23 5.504134255034814e+19 5.664482182237863e+15
-3.765600000000000e+04 -3.556400000000000e+04 1.825547808764940e+27 6.244562550956744e+23 9.059163272607287e+19 -6.075251899203085e+15
-3.556400000000000e+04 -3.347200000000000e+04 3.472758964143426e+27 9.237272827381815e+23 5.246335180667412e+19 -4.769226475052855e+15
-3.347200000000000e+04 -3.138000000000000e+04 5.591135458167330e+27 1.080616902769559e+24 2.253168644924310e+19 -1.626889742705890e+16
-3.138000000000000e+04 -2.928800000000000e+04 7.801444223107568e+27 9.612887471455445e+23 -7.957191380297849e+19 7.792104689709347e+15
-2.928800000000000e+04 -2.719600000000000e+04 9.535557768924301e+27 7.306654567701149e+23 -3.066866477036270e+19 4.341562366293720e+14
-2.719600000000000e+04 -2.510400000000000e+04 1.093386454183267e+28 6.080479707908691e+23 -2.794390022927664e+19 -8.311239491445551e+14
-2.510400000000000e+04 -2.301200000000000e+04 1.207599601593625e+28 4.802185401026687e+23 -3.316003413410783e+19 4.190356920306607e+15
-2.301200000000000e+04 -2.092000000000000e+04 1.297385458167330e+28 3.964937959121799e+23 -6.861354102263564e+18 -3.044357595309930e+15
-2.092000000000000e+04 -1.882800000000000e+04 1.374541832669323e+28 3.278153260913076e+23 -2.596774237042878e+19 7.807573155945748e+15
-1.882800000000000e+04 -1.673600000000000e+04 1.438904382470119e+28 3.216749805465224e+23 2.303258675628667e+19 -1.076896604158257e+16
-1.673600000000000e+04 -1.464400000000000e+04 1.506419322709163e+28 2.766533469402000e+23 -4.455344412068539e+19 1.111734088490296e+16
-1.464400000000000e+04 -1.255200000000000e+04 1.554975099601593e+28 2.362056632147702e+23 2.521898727296567e+19 -7.319292068167687e+15
-1.255200000000000e+04 -1.046000000000000e+04 1.608725099601593e+28 2.456240512393943e+23 -2.071688974685473e+19 2.064633373961156e+15
-1.046000000000000e+04 -8.368000000000000e+03 1.652933266932271e+28 1.860519654415727e+23 -7.759250691874546e+18 2.346158093897782e+15
-8.368000000000000e+03 -6.276000000000000e+03 1.690607569721115e+28 1.843908898555264e+23 6.965237505428001e+18 -2.849569319735714e+15
-6.276000000000000e+03 -4.184000000000000e+03 1.729621513944223e+28 1.761203309482536e+23 -1.091865954523337e+19 -8.607815973143638e+13
-4.184000000000000e+03 -2.092000000000000e+03 1.761608565737051e+28 1.293065055092446e+23 -1.145888607570791e+19 -8.607815973145172e+13
